descricao;endereco;area;quartos;wc;vagas;valor;condominio;wlink
Apartamento para venda com 50 metros quadrados com 2 quartos em Campo Comprido - Curitiba - Paraná;Rua Renato PolattiCuritibaParaná;[];[2];[2];[1];229000;365;https://www.vivareal.com.br/imovel/apartamento-2-quartos-campo-comprido-bairros-curitiba-com-garagem-50m2-venda-RS229000-id-2523669135/
AP 2 QUARTOS NO NOVO MUNDO, WHATS PARA;Rua Carolina CastelliCuritibaParaná;[];[2];[1];[1];179000;288;https://www.vivareal.com.br/imovel/apartamento-2-quartos-novo-mundo-bairros-curitiba-com-garagem-46m2-venda-RS179000-id-2509103089/
Apto. venda +-70 m2 - 2 quartos - Al. Dr. Muricy, 209, 5º Andar, Centro, Curitiba/PR;Alameda Doutor MuricyCuritibaParaná;['85'];[2];[1];[];230000;450;https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-curitiba-70m2-venda-RS230000-id-2535050677/
Apartamento para venda tem 44 m2 privativos com 2 quartos em Fazendinha - Curitiba - Paraná;Rua Juvenal CarvalhoCuritibaParaná;['46'];[2];[1];[1];185500;395;https://www.vivareal.com.br/imovel/apartamento-2-quartos-fazendinha-bairros-curitiba-com-garagem-44m2-venda-RS185500-id-2531822386/
Apt para venda no Cond. Botânica: 113 m² com 3 quartos. Cristo Rei - Curitiba;Rua Coronel Pedro Scherer SobrinhoCuritibaParaná;[];[3];[4];[2];1300000;650;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-113m2-venda-RS1300000-id-2535740776/
Apartamento para venda com 47 metros quadrados com 2 quartos em Novo Mundo - Curitiba - Paraná;Rua Carolina CastelliCuritibaParaná;['55'];[2];[2];[1];170000;280;https://www.vivareal.com.br/imovel/apartamento-2-quartos-novo-mundo-bairros-curitiba-com-garagem-47m2-venda-RS170000-id-2533208137/
Apartamento para venda tem 59 metros quadrados com 2 quartos em Boa Vista - Curitiba - Paraná;Rua Alberto PotierCuritibaParaná;['75'];[2];[2];[1];404000;260;https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-59m2-venda-RS404000-id-2513064777/
Apartamento 3 quartos pronto para morar com mobília e eletros;Rua Padre AgostinhoCuritibaParaná;[];[3];[1];[1];390000;400;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-56m2-venda-RS390000-id-2497942673/
Apartamento para venda tem 162 metros quadrados em Água Verde - Curitiba - Paraná;Avenida IguaçuCuritibaParaná;[];[3];[5];[2];1780000;1100;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-162m2-venda-RS1780000-id-2524976562/
Apartamento para venda possui 85 metros quadrados com 3 quartos em Portão - Curitiba - Paraná;Rua Serafim FrançaCuritibaParaná;['105'];[3];[2];[2];790000;356;https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-85m2-venda-RS790000-id-2525663915/
Apartamento próximo Hospital Ipo com 113 m2 área útil, 3 quartos, suíte, varanda;Rua João GearaCuritibaParaná;['162'];[3];[3];[2];890000;700;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-113m2-venda-RS890000-id-2533896391/
studio para venda possui 33 metros quadrados com 1 quarto em Centro - Curitiba - Paraná;Avenida Visconde de GuarapuavaCuritibaParaná;['60'];[1];[1];[0];429000;340;https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-curitiba-33m2-venda-RS429000-id-2492423846/
Apartamento arejado e ensolarado, rua tranquila entre o Centro, Batel e Mercês;Rua José Nicolau AbageCuritibaParaná;['104'];[2];[1];[1];350000;500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bigorrilho-bairros-curitiba-com-garagem-64m2-venda-RS350000-id-2519779124/
Apartamento para venda tem 163 metros quadrados com 2 quartos em Batel - Curitiba - Paraná;Alameda Dom Pedro IICuritibaParaná;['183'];[2];[2];[1];1045000;1000;https://www.vivareal.com.br/imovel/apartamento-2-quartos-batel-bairros-curitiba-com-garagem-163m2-venda-RS1045000-id-2511957009/
Ótimo apartamento no Caiua;Rua Vale dos PássarosCuritibaParaná;[];[2];[1];[1];130000;352;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-industrial-bairros-curitiba-com-garagem-50m2-venda-RS130000-id-2467550190/
Apartamento para venda possui 96 metros quadrados com 3 quartos em Água Verde - Curitiba - Paraná;Rua Nestor VictorCuritibaParaná;['103'];[3];[3];[1];620000;440;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-96m2-venda-RS620000-id-2523939706/
Apartamento 90m2 Agua Verde;Rua Monsenhor Manoel VicenteCuritibaParaná;['32'];[3];[2];[1];389000;400;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-90m2-venda-RS389000-id-2532757886/
Apto pronto para morar com 73 m² com 3 quartos (1suite) no Portão - Curitiba - Paraná;Rua MorretesCuritibaParaná;[];[3];[2];[2];498000;450;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-73m2-venda-RS498000-id-2472408476/
Apartamento para venda tem 64 metros quadrados com 3 quartos em Portão - Curitiba - Paraná;Rua Engenheiro Niepce da SilvaCuritibaParaná;['79'];[3];[3];[];259000;500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-64m2-venda-RS259000-id-2536711817/
Apartamento para venda possui 88 metros quadrados com 3 quartos em Cristo Rei - Curitiba - Paraná;Rua Sanito RochaCuritibaParaná;['118'];[3];[2];[1];385000;575;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-88m2-venda-RS385000-id-2527428932/
Apartamento para venda com 82 metros quadrados com 2 quartos em Boa Vista - Curitiba - Paraná;Rua Leão SallumCuritibaParaná;[];[2];[2];[2];765000;486;https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-82m2-venda-RS765000-id-2517262807/
Apartamento para venda com 78 metros quadrados com 2 quartos em Vila Izabel - Curitiba - Paraná;Rua GuaianazesCuritibaParaná;[];[2];[2];[2];580000;400;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-78m2-venda-RS580000-id-2501527340/
Apartamento para venda com 85 metros quadrados com 2 quartos em Alto da Rua XV - Curitiba - Paraná;Rua José de AlencarCuritibaParaná;[];[2];[1];[1];690000;320;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-85m2-venda-RS690000-id-2531888538/
Apartamento para venda possui 0 metros quadrados em Capão Raso - Curitiba - Paraná;Rua Marechal Octávio Saldanha MazzaCuritibaParaná;[];[2];[1];[1];194500;380;https://www.vivareal.com.br/imovel/apartamento-2-quartos-capao-raso-bairros-curitiba-com-garagem-56m2-venda-RS194500-id-2469215484/
Apartamento para venda com 123 metros quadrados com 2 quartos em Ecoville - Curitiba - Paraná;Rua Doutor Brasílio Vicente de CastroCuritibaParaná;['183'];[2];[3];[2];685000;950;https://www.vivareal.com.br/imovel/apartamento-2-quartos-ecoville-bairros-curitiba-com-garagem-123m2-venda-RS685000-id-2533906480/
